Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
11	:	1742926422.127	    78.625	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_7_4_2*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_7_4_2 --readFilesCommand zcat)) 2>&1 | tee 23d_7_4_2.log
12	:	1742926464.062	    77.770	0	568	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/23d_7_4_3*.fq.gz | paste -sd ',' -) --outFileNamePrefix 23d_7_4_3 --readFilesCommand zcat)) 2>&1 | tee 23d_7_4_3.log
13	:	1742926479.425	    75.585	0	694	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_A*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_A --readFilesCommand zcat)) 2>&1 | tee 24h_A.log
14	:	1742926481.902	    88.627	0	694	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_C*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_C --readFilesCommand zcat)) 2>&1 | tee 24h_C.log
15	:	1742926500.755	   111.005	0	694	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_G*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_G --readFilesCommand zcat)) 2>&1 | tee 24h_G.log
17	:	1742926555.014	    65.012	0	692	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_J*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_J --readFilesCommand zcat)) 2>&1 | tee 24h_J.log
16	:	1742926541.836	   101.292	0	694	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_I*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_I --readFilesCommand zcat)) 2>&1 | tee 24h_I.log
18	:	1742926570.532	   114.340	0	694	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_L*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_L --readFilesCommand zcat)) 2>&1 | tee 24h_L.log
21	:	1742926643.132	    53.100	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_A*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_A --readFilesCommand zcat)) 2>&1 | tee FaDu_A.log
20	:	1742926620.030	    87.881	0	698	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_O*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_O --readFilesCommand zcat)) 2>&1 | tee 24h_O.log
19	:	1742926611.765	   105.509	0	698	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/24h_M*.fq.gz | paste -sd ',' -) --outFileNamePrefix 24h_M --readFilesCommand zcat)) 2>&1 | tee 24h_M.log
22	:	1742926684.878	    44.315	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_B*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_B --readFilesCommand zcat)) 2>&1 | tee FaDu_B.log
23	:	1742926696.236	    44.167	0	649	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_C*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_C --readFilesCommand zcat)) 2>&1 | tee FaDu_C.log
24	:	1742926707.916	    50.595	0	649	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_D*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_D --readFilesCommand zcat)) 2>&1 | tee FaDu_D.log
25	:	1742926717.278	    46.792	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_E*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_E --readFilesCommand zcat)) 2>&1 | tee FaDu_E.log
26	:	1742926729.197	    46.091	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/FaDu_F*.fq.gz | paste -sd ',' -) --outFileNamePrefix FaDu_F --readFilesCommand zcat)) 2>&1 | tee FaDu_F.log
27	:	1742926740.405	    51.565	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_A*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_A --readFilesCommand zcat)) 2>&1 | tee HCT-116_A.log
28	:	1742926758.514	    46.561	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_B*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_B --readFilesCommand zcat)) 2>&1 | tee HCT-116_B.log
29	:	1742926764.074	    46.469	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_C*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_C --readFilesCommand zcat)) 2>&1 | tee HCT-116_C.log
30	:	1742926775.291	    47.912	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_D*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_D --readFilesCommand zcat)) 2>&1 | tee HCT-116_D.log
31	:	1742926791.975	    41.886	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_E*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_E --readFilesCommand zcat)) 2>&1 | tee HCT-116_E.log
32	:	1742926805.079	    45.931	0	665	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/HCT-116_F*.fq.gz | paste -sd ',' -) --outFileNamePrefix HCT-116_F --readFilesCommand zcat)) 2>&1 | tee HCT-116_F.log
33	:	1742926810.546	    45.349	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_A*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_A --readFilesCommand zcat)) 2>&1 | tee SiHa_A.log
34	:	1742926823.208	    45.551	0	649	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_B*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_B --readFilesCommand zcat)) 2>&1 | tee SiHa_B.log
35	:	1742926833.865	    48.637	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_C*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_C --readFilesCommand zcat)) 2>&1 | tee SiHa_C.log
36	:	1742926851.013	    42.333	0	649	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_D*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_D --readFilesCommand zcat)) 2>&1 | tee SiHa_D.log
37	:	1742926855.899	    44.759	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_E*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_E --readFilesCommand zcat)) 2>&1 | tee SiHa_E.log
38	:	1742926868.763	    42.838	0	650	0	0	(time (/opt/miniforge/envs/star/bin/STAR --runThreadN 15 --genomeDir /blazer/references/grch38 --readFilesIn $(ls -1 ../2-trim/SiHa_F*.fq.gz | paste -sd ',' -) --outFileNamePrefix SiHa_F --readFilesCommand zcat)) 2>&1 | tee SiHa_F.log
