Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Role of BRCA1 in DNA Damage Response,5.41,0.3,-0.728,-3.93848,"ABRAXAS1,ATRIP,BRCC3,CDKN1A,E2F3,E2F6,E2F7,FAAP24,FANCC,FANCF,GADD45A,HLTF,MLH1,MSH2,NBN,PBRM1,RB1,RBL1,RBL2,RFC2,RFC3,SMARCA4,TOPBP1,TP53"
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),1.32,0.167,-2.982,-3.93624,"ABRAXAS1,ATRIP,BRCC3,CLSPN,FIGNL1,GEN1,NBN,POLD4,POLE2,POLK,PPP4C,RAD51C,RFC2,RFC3,RPA3,TIMELESS,TIPIN,TOPBP1,XRCC2"
Signaling by Insulin receptor,3.59,0.311,-1.069,-3.83771,"ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,CTSD,IDE,PIK3R1,PTPN1,PTPRF,SOS1,TCIRG1"
OAS antiviral response,1.91,0.444,-2,-3.82,"OAS1,OAS2,OAS3,OASL"
Transcriptional regulation of brown and beige adipocyte differentiation,4.18,0.387,-0.905,-3.7829,"CHD3,DIO2,HDAC1,HNRNPU,MBD3,MTA1,PPARA,PPARG,PPARGC1A,PRDM16,RBBP4,SMAD4"
Apelin Pancreas Signaling Pathway,1.97,0.239,-1.897,-3.73709,"APLN,DDIT3,ERN1,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PRKAB2,PRKACB,RELA,RELB"
TCF dependent signaling in response to WNT,3.86,0.202,-0.949,-3.66314,"AKT1,APC,AXIN1,AXIN2,CAV1,CBY1,CCDC88C,CSNK1E,CTNNB1,DVL1,DVL3,FZD1,FZD2,FZD5,H2AC6,HDAC1,HECW1,KREMEN1,LEF1,LGR5,LGR6,MYC,PPP2R1B,PPP2R5A,PPP2R5D,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RNF43,SFRP1,SMARCA4,SMURF2,SOST,SOX4,SOX9"
Cell Cycle Control of Chromosomal Replication,2.06,0.228,-1.732,-3.56792,"CDC6,CDC7,CDK10,CDK16,CDK4,CDK5,MCM4,ORC1,ORC2,ORC5,POLA1,POLA2,RPA3"
"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",2.2,0.23,-1.604,-3.5288,"ARSB,ARSL,DPH1,DPH3,DPH7,EEF2,EIF5A2,F8,GAS6,ICMT,KDM8,RIOX1,STS,SUMF1"
Iron uptake and transport,1.51,0.2,-2.309,-3.48659,"ALAD,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,HFE,MCOLN1,TCIRG1,TFRC"
Activation of gene expression by SREBF (SREBP),2.28,0.262,-1.508,-3.43824,"ACACB,CARM1,HELZ2,IDI1,LSS,NFYC,PMVK,PPARA,SC5D,SCD,SREBF1"
Factors involved in megakaryocyte development and platelet production,2.55,0.215,-1.342,-3.4221,"AK3,CABLES1,CABLES2,CARMIL1,CDK5,DOCK11,DOCK6,DOCK7,DOCK9,EHD1,EHD3,GATA2,GATA3,HDAC1,HMG20B,MAFF,MAFG,PRKACB,RAD51C,TP53"
AMPK Signaling,2.09,0.164,-1.569,-3.27921,"ACACB,ADRA1B,ADRB2,AK3,AK4,AKT1,CAMKK2,CCND1,CDKN1A,CHRNE,CREB3L2,CRTC2,EEF2,EIF4EBP1,EPM2A,GNAI1,GNB1,GNG11,HLTF,KAT2B,MAPK13,PBRM1,PFKFB3,PIK3C2B,PIK3R1,PIK3R3,PPARGC1A,PPM1D,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKAB2,PRKACB,RAB9B,SLC2A1,SMARCA4,TBC1D1,ULK1"
Degradation of beta-catenin by the destruction complex,2.67,0.22,-1.213,-3.23871,"APC,AXIN1,AXIN2,CTNNB1,HDAC1,LEF1,MYC,PPP2R1B,PPP2R5A,PPP2R5D,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,TCF3,ZRANB1"
ILK Signaling,4.58,0.213,-0.707,-3.23806,"ACTN1,AKT1,BMP2,CASP3,CCND1,CREB3L2,CTNNB1,DSP,FBLIM1,FLNB,FLNC,ITGB3,ITGB6,ITGB8,LEF1,MAP2K6,MUC1,MYC,MYO10,MYO18A,NFKB2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PTK2,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RSU1,SNAI2,TGFB1I1"
Transcriptional regulation by RUNX2,2.05,0.235,-1.508,-3.0914,"AKT1,BMP2,CCND1,CDK4,CDKN1A,PPM1D,RB1,SMAD4,SMAD6,SOX9,YES1,ZNF521"
Apoptotic execution phase,2.89,0.269,-1.069,-3.08941,"ADD1,APC,BIRC2,CASP3,CASP6,CASP7,CASP8,CLSPN,CTNNB1,DSP,GSN,PLEC,PRKCD,PTK2"
Mitotic G2-G2/M phases,2.59,0.18,-1.183,-3.06397,"CDKN1A,CEP135,CEP290,CEP41,CEP63,CSNK1D,CSNK1E,E2F3,HAUS2,HAUS3,HAUS6,HAUS8,HMMR,LIN54,MAPRE1,MNAT1,NME7,PHLDA1,PPP2R1B,PPP2R2A,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RBBP4,SFI1,SSNA1,TP53,TUBA1A,TUBG1,TUBG2,TUBGCP4"
Formation of the nephric duct,1.37,0.278,-2.236,-3.06332,"BMP4,CTNNB1,GATA3,OSR1,PAX8"
Somitogenesis,2.19,0.236,-1.387,-3.03753,"CTNNB1,EPHA4,HES7,LEF1,LFNG,NOTCH1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3"
Tuberculosis Active Signaling Pathway,2.76,0.176,-1.093,-3.01668,"AKT1,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BCL6,CASP3,CHP1,CYBB,DRAM2,GADD45A,IL1B,IL1RAPL1,IRF3,MALT1,MAPK13,MRC2,MYC,NFKB2,NGFR,NLRP1,NPC1,PIK3C2B,PIK3R1,PIK3R3,PPARG,PPP3CA,PPP3CC,RACK1,TCIRG1,TLR4,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,TP53,TRAF2,UCHL5,ULK1"
PPARα/RXRα Activation,1.92,0.167,-1.569,-3.01248,"ACVR2B,ADCY6,ADCY7,GPD2,HELZ2,HSP90B1,IKBKE,IL1B,IL1RAPL1,MAP2K1,MAP2K6,MAP2K7,MAP3K14,MED24,NFKB2,NFKBIA,PLCB3,PLCD3,PPARA,PPARGC1A,PRKAB2,PRKACB,RAP1A,RASD1,RELA,RELB,RRAS,SMAD4,SOS1,STAT5B,TGFB1,TGFB3,TGFBR3"
ISG15 antiviral mechanism,2.98,0.243,-0.943,-2.81014,"BECN1,FLNB,HERC5,IFIT1,IRF3,ISG15,KPNA3,MX1,MX2,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,USP18"
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation,1.32,0.216,-2.121,-2.79972,"GSTO1,HNRNPDL,MSN,PITPNA,PPIA,SERPINB2,SNRPA1,TALDO1"
Trafficking and processing of endosomal TLR,1.99,0.385,-1.342,-2.67058,"CNPY3,CTSS,HSP90B1,TLR3,TLR7"
DNA Damage Bypass,2.27,0.25,-1.155,-2.62185,"ISG15,MAD2L2,PCLAF,POLD4,POLE2,POLI,POLK,RFC2,RFC3,RPA3,UFD1,USP1"
Type II Diabetes Mellitus Signaling,2.88,0.197,-0.894,-2.57472,"ACSL3,AKT1,CACNA1F,CACNA2D2,CACNG7,CATSPER3,IKBKE,MAP2K7,MAP3K1,MAP3K14,NFKB2,NFKBIA,NGFR,NSMAF,PIK3C2B,PIK3R1,PIK3R3,PKM,PPARG,PRKAB2,PRKCD,PRKCI,RELA,RELB,SOCS2,SOCS4,SOCS7,TNFRSF11B,TNFRSF1B,TRAF2"
DNA Replication Pre-Initiation,1.17,0.163,-2.183,-2.55411,"ANAPC1,ANAPC11,ANAPC4,CDC6,GMNN,H2AC6,MCM4,ORC1,ORC2,ORC5,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3"
Kinetochore Metaphase Signaling Pathway,1.45,0.175,-1.732,-2.5114,"ANAPC1,ANAPC11,ANAPC4,CENPH,CENPL,CENPO,CENPT,DNAH1,ENSA,MACROH2A1,MAD2L2,PPP2R5A,PPP2R5D,SKA2,SKA3,SMC1A,ZW10,ZWINT"
Regulation of TLR by endogenous ligand,1.53,0.273,-1.633,-2.49849,"CD14,GSDME,TLR1,TLR4,TLR6,TLR7"
Fanconi Anemia Pathway,0.906,0.184,-2.646,-2.397276,"ATRIP,DCLRE1A,FAAP24,FANCC,FANCF,RPA3,USP1"
Regulation of TP53 Activity through Acetylation,2.37,0.3,-1,-2.37,"AKT1,BRD1,CHD3,HDAC1,ING5,MAP2K6,MBD3,RBBP4,TP53"
Regulation of cholesterol biosynthesis by SREBP (SREBF),1.7,0.333,-1.342,-2.2814,"MBTPS1,MBTPS2,RAN,SEC24C,SREBF1"
Processing of Capped Intron-Containing Pre-mRNA,3.24,0.177,-0.7,-2.268,"ALYREF,BUD31,CASC3,CCAR1,CPSF4,CSTF2T,DDX23,DDX39A,DHX9,HNRNPA3,HNRNPM,HNRNPU,HTATSF1,LSM3,METTL3,MTREX,NCBP1,NCBP2,NDC1,NKAP,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PDCD7,PLRG1,POLR2C,POLR2L,RNPS1,SART1,SF1,SF3B2,SNRNP25,SNRPA1,SNU13,SRRM1,SRRT,SRSF2,SRSF3,SRSF4,SRSF6,SYMPK,TCERG1,TFIP11,UPF3B,XAB2,YJU2,ZMAT2"
WNT/SHH Axonal Guidance Signaling Pathway,2.32,0.185,-0.962,-2.23184,"ADCY6,ADCY7,BOC,CELSR3,CTNNB1,DVL1,FRK,FYN,FZD1,FZD2,FZD5,GLI1,GPC1,LEF1,PARD6G,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PRKCI,SEMA3C,SEMA3D,SFRP1,SHH,TCF3,WNT2B,YES1,ZNF875"
Microautophagy Signaling Pathway,3.51,0.208,-0.626,-2.19726,"CHMP3,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,HGS,MAP1LC3C,PRKAB2,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RAB7B,RETREG1,RHOT1,SEC24C,TP53,TSG101,VPS18,VPS25,VPS33B,VPS37A,VPS4A"
Aryl Hydrocarbon Receptor Signaling,2.18,0.175,-1,-2.18,"ALDH16A1,ALDH1L1,ARNT,CCND1,CCND3,CCNE2,CDK4,CDKN1A,CTSD,CYP1B1,DHFR,ESR2,GSTO1,HSP90B1,IL1A,IL1B,MGST1,MGST2,MYC,NFKB2,NRIP1,POLA1,RB1,RBL1,RBL2,RELA,RELB,SMARCA4,TFDP1,TGFB1,TGFB3,TP53"
Ephrin A Signaling,1.67,0.171,-1.279,-2.13593,"AKT1,BRAF,CBL,CHN2,CYBB,EGFR,EPHA4,FRK,FYN,GIT1,MAP2K1,MYL12A,MYL12B,NGFR,PAK1,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PTK2,RAP1A,SIPA1L1,TGFB1,YES1"
Mismatch Repair,1.58,0.312,-1.342,-2.12036,"MLH1,MSH2,MSH3,POLD4,RPA3"
PKR-mediated signaling,1.32,0.179,-1.604,-2.11728,"DHX9,DUS2,FAAP24,FANCC,FANCF,HERC5,ISG15,MAP2K6,PPP2R1B,PPP2R5A,PTPN2,SPHK1,TP53,TUBA1A"
Neddylation,1.62,0.154,-1.298,-2.10276,"ASB1,ASB13,ASB18,ASB8,ASB9,CCDC8,CDKN1A,CISH,COMMD4,COMMD7,COMMD8,COMMD9,COPS4,DCAF10,DCAF6,FBXL3,FBXO11,FBXO32,FBXO41,FBXO9,GAN,KCTD6,KCTD7,KEAP1,LRR1,MUL1,NAE1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SOCS2,UFD1,WDR5"
KEAP1-NFE2L2 pathway,2.88,0.197,-0.73,-2.1024,"AKT1,BACH1,CDKN1A,KEAP1,MAFG,MUL1,NME1,NME7,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39,TRIM21,UFD1"
Toll-like Receptor Cascades,0.856,0.188,-2.449,-2.096344,"CD14,CD180,TLR1,TLR4,TLR6,TLR7"
Ribonucleotide Reductase Signaling Pathway,2.25,0.178,-0.928,-2.088,"AKT1,BRAF,CASP3,CCND1,CDC34,CDK4,CDKN1A,CREB3L2,CTNNB1,E2F3,E2F6,E2F7,EGFR,EIF4EBP1,HLTF,MAPK13,MYC,NFKB2,NFYC,PARP9,PBRM1,PIK3C2B,PIK3R1,PIK3R3,RB1,RRM2,SMARCA4,SNAI2,TBRG4,TIPARP,TP53"
Hedgehog ligand biogenesis,0.984,0.169,-2.111,-2.077224,"OS9,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,SHH,SYVN1"
Chondroitin Sulfate Biosynthesis,1.31,0.183,-1.508,-1.97548,"B3GALT6,CHPF,CHPF2,CHST15,CHST2,CHST4,CSGALNACT1,CSGALNACT2,HS3ST1,HS6ST1,NDST1,NDST3,XYLT2"
Toll-like Receptor Signaling,3.65,0.26,-0.535,-1.95275,"CD14,ECSIT,IL1A,IL1B,IRAK2,MAP2K6,MAP3K1,MAP3K14,MAPK13,NFKB2,NFKBIA,PPARA,RELA,RELB,TICAM1,TLR1,TLR3,TLR4,TLR6,TLR7"
Cellular response to heat stress,1.53,0.178,-1.265,-1.93545,"BAG1,DEDD2,HSBP1,HSPA12A,HSPA5,HSPB8,HSPH1,MAPKAPK2,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,RPA3,TNFRSF21"
MYC Mediated Apoptosis Signaling,3.61,0.3,-0.535,-1.93135,"ADRB2,BBC3,CASP2,CASP3,CASP8,CRADD,IKBKE,MYC,NFKB2,NGFR,PRKACB,TNFRSF11B,TNFRSF1B,TP53,TRAF2"
TR/RXR Activation,2.3,0.191,-0.816,-1.8768,"AKR1C3,AKT1,ATP2A1,CAMK4,CCND1,COL6A3,DIO2,ITGB3,LDLR,NCOA4,NXPH2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PINK1,PPARA,PPARD,PPARG,PPARGC1A,RAB3B,SCARB1,SLC16A2,SLC2A1,SREBF1"
